Device details,,,,,CO2e data,,,,,,,,,,,,,,,,,,,,,,,,,Lifespan data,,,Weight data,,,Notes
ORDS Product Category,Family (as defined by CO2 source),order,model,model (grouped),Primary / CO2 Source (e.g. Manufacturer),Primary / CO2 source - external url,Primary / CO2 source - drive url,filename,Study name,Primary / CO2 Source date,CO2 Footprint (total) kg,,Total Embodied CO2 kg,Total Embodied CO2 % (as % of total footprint),CO2 Footprint (production) kg,CO2 Footprint (production) %,CO2 Footprint (transport) kg,CO2 Footprint (transport) %,CO2 Footprint (use) kg,CO2 Footprint (use) %,CO2 Footprint (EoL) kg,CO2 Footprint (EoL) %,DQI - Temporal representativeness,DQI - Technical representativeness,DQI - Reliability,DQI score - Temporal representativeness,DQI score - Technical representativeness,DQI score - Reliability,DQI score - TOTAL,Lifespan source - drive url,Lifespan source date,Lifespan (years),Weight source - drive url,Weight source date,Product Weight (kg),Notes
Aircon/Dehumidifier,Air Conditioner,1,L1010ER,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/L1010ER.pdf,https://drive.google.com/file/d/1YiCT9ClKT4XCRllxYdnKugDm5hoSFj4A/view?usp=drivesdk,L1010ER.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,2,L1210ER,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/L1210ER.pdf,https://drive.google.com/file/d/1G2iNSva06JsCUqksBKvbh9gVAtc5_BVj/view?usp=drivesdk,L1210ER.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,3,L1811ER,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/L1811ER.pdf,https://drive.google.com/file/d/1dNPaR5hqYqYjmAlzr6hzR9fsn4Rw4lgO/view?usp=drivesdk,L1811ER.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,4,L6011ER,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/L6011ER.pdf,https://drive.google.com/file/d/1gVtnT6bZ6wMkFRxEGpBCZ7dUSc0TgrNI/view?usp=drivesdk,L6011ER.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,5,L8010ER,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/L8010ER.pdf,https://drive.google.com/file/d/130VFwJXYKmrNC_Jxewt9m65lI0XKsmoq/view?usp=drivesdk,L8010ER.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,6,LP070CED-Y8,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LP070CED-Y8.pdf,https://drive.google.com/file/d/11B9W3zwZKegBsySNj3cbKQRRBdh_PSVv/view?usp=drivesdk,LP070CED-Y8.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,7,LP070CED1,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LP070CED1.pdf,https://drive.google.com/file/d/1VHHVhAZtsuLoMg7TF_caEsHWtoZOXU43/view?usp=drivesdk,LP070CED1.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,8,LP070HED-Y8,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LP070HED-Y8.pdf,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LP070HED-Y8.pdf,LP070HED-Y8.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,9,LP070HED1,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LP070HED1.pdf,https://drive.google.com/file/d/1_QsoednXPV_7OS2fsXc8giU5j1eZjtrL/view?usp=drivesdk,LP070HED1.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
Aircon/Dehumidifier,Air Conditioner,10,LP0711WNR,,LG,https://www.lg.com/global/sustainability/environment/greener-products/category/US/Air%20Conditioner/LP0711WNR.pdf,https://drive.google.com/file/d/1gPfHeM2yEHSAIyoclAj5DOnf6yPRAS3o/view?usp=drivesdk,LP0711WNR.pdf,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,
