,PRODUCT CATEGORY,No. products with source data,"No. Products 
with CO2e data extracted","No. Products 
with weight data extracted",Average product weight (kg),Average product pre-use CO2e (kg),Data quality score,Data availability (CO2e),Data quality (CO2e),Previous data quality rating,Change in DQI,Previous data availability rating,Change in data availablity,,Key: Data availability & Data quality index (DQI) ranking,,
,--Computers and home office-- ,,,,,,,,,,,,,,Rank,Data availability,DQI average*
,Desktop computer small (e.g. mini-PC),27,11,17,3.318823529,190.9054545,10.2,Very good,Good,Fair,1,good,1,,Very poor,No data: proxy assumption or interpolation necessary,3 or 4
,Desktop computer medium (e.g. all-in-one),43,22,22,8.868136364,435.8735455,10.4,Very good,Good,,new,,new,,Poor,One data point available,5 or 6
,Desktop computer large (e.g. tower),61,6,54,7.87487037,615.7166667,10.3,Good,Good,,new,,new,,Fair,2-3 data points available,7 or 8
,"Flat screen <15""",4,4,4,1.135,298.5,10.5,Good,Good,,new,,new,,Good,4-10 data points available,9 or 10
,"Flat screen 15-17""",2,2,2,3.147,262.5575,11.0,Fair,Very good,Poor,3,Very poor,2,,Very good,More than 10 data points available,11 or 12
,"Flat screen 19-21""",33,15,26,3.662746154,304.8757333,10.9,Very good,Good,,new,,new,,,,
,"Flat screen 22-24""",152,18,111,5.228440541,343.4929444,11.3,Very good,Very good,Fair,2,Fair,2,,*average of the DQI for all data points (see DQI definitions tab),,
,"Flat screen 25-27""",58,15,48,7.250364583,432.7033333,10.3,Very good,Good,Fair,1,Poor,3,,,,
,"Flat screen 28-30""",2,1,1,4.2146,388.788,12.0,Poor,Very good,,new,,new,,,,
,"Flat screen 31-33""",9,9,8,10.1956,458.6215556,11.5,Good,Very good,,new,,new,,,,
,"Flat screen 34-36""",9,7,9,14.11472222,465.5312857,10.0,Good,Good,,new,,new,,,,
,"Flat screen 37-38""",1,1,1,14.3,480,11.0,Poor,Very good,,new,,new,,,,
,"Flat screen 38-40""",1,1,1,18.26,580.602,11.0,Poor,Very good,,new,,new,,,,
,"Flat screen >40""",6,6,6,14.757,637.9033333,12.0,Good,Very good,,new,,new,,Compared to the previous version of this reference data...,,
,Laptop large,73,15,59,2.534745763,414.6973333,10.8,Very good,Good,Fair,1,Poor,3,,,DATA QUALITY CHANGES,
,Laptop medium,251,63,217,1.834364055,265.3158889,10.7,Very good,Good,Fair,1,Good,1,,26,newly added/divided categories,
,Laptop small,38,15,17,1.393529412,221.1522667,9.6,Very good,Good,Fair,1,Good,1,,0,categories decreased DQI rank,
,Paper shredder,1,1,1,3.8,59.5,11.0,Poor,Very good,Very poor,4,Very poor,1,,6,categories retained the same DQI rank,
,PC Accessory,10,5,6,0.435,15.9353952,10.1,Good,Good,Fair,2,Fair,1,,29,categories increased DQI score by at least one rank,
,Printer/scanner,10,10,10,12.4655,100.69,8.3,Good,Fair,Fair,0,Good,0,,,,
,--Electronic gadgets--,,,,,,,,,,,,,,12,categories increased DQI by one rank,
,Battery/charger/adapter,3,1,2,0.074665,0.54843,11.0,Poor,Very good,,new,,new,,10,categories increased DQI by two ranks,
,Digital Compact Camera,5,5,5,0.4826,29.726,8.4,Good,Fair,Poor,1,Poor,2,,6,categories increased DQI by three ranks,
,DSLR / Video Camera,2,2,2,0.585,16.025,7.5,Fair,Fair,Fair,0,Poor,1,,1,categories increased DQI by four ranks,
,Handheld entertainment device,18,18,14,0.1369714286,22.70666667,9.1,Very good,Good,Good,1,Fair,3,,,,
,Headphones,1,1,1,0.4,3,11.0,Poor,Very good,Fair,2,Very poor,1,,,DATA AVAILABILITY CHANGES,
